City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Semey,KZ,2022-02-05 16:32:40,50.4111,80.2275,0.23,86,3,8.1
68,Becerril,CO,2022-02-05 16:32:40,9.7041,-73.2793,96.33,30,24,5.1
69,Mangan,IN,2022-02-05 16:32:41,27.5167,88.5333,39.65,79,51,9.26
70,Arraial Do Cabo,BR,2022-02-05 16:27:54,-22.9661,-42.0278,89.56,66,0,19.57
71,Cap Malheureux,MU,2022-02-05 16:32:41,-19.9842,57.6142,81.09,79,100,8.99
72,Ilulissat,GL,2022-02-05 16:32:42,69.2167,-51.1,6.82,51,75,14.97
73,Luderitz,NA,2022-02-05 16:29:06,-26.6481,15.1594,72.0,65,8,5.12
74,Usinsk,RU,2022-02-05 16:32:43,65.9939,57.5281,-14.76,100,62,3.71
75,Butaritari,KI,2022-02-05 16:28:03,3.0707,172.7902,82.49,69,15,19.51
76,Qaanaaq,GL,2022-02-05 16:29:17,77.484,-69.3632,0.14,69,86,6.53
77,Sitka,US,2022-02-05 16:30:29,57.0531,-135.33,42.69,81,100,9.22
78,Rikitea,PF,2022-02-05 16:29:08,-23.1203,-134.9692,78.58,73,41,13.0
79,Atuona,PF,2022-02-05 16:27:52,-9.8,-139.0333,78.39,77,12,21.21
80,Beringovskiy,RU,2022-02-05 16:32:44,63.05,179.3167,-8.28,92,79,14.7
81,Turka,UA,2022-02-05 16:32:44,49.1541,23.0297,31.8,90,97,6.58
82,Kirkuk,IQ,2022-02-05 16:32:45,35.4681,44.3922,45.82,81,37,8.9
83,Riyadh,SA,2022-02-05 16:30:22,24.6877,46.7219,60.94,26,0,12.19
84,Puerto Ayora,EC,2022-02-05 16:27:57,-0.7393,-90.3518,84.16,88,53,4.0
85,Saskylakh,RU,2022-02-05 16:30:33,71.9167,114.0833,-29.67,100,85,4.41
86,Anadyr,RU,2022-02-05 16:32:46,64.75,177.4833,-22.45,96,4,3.44
87,Boralday,KZ,2022-02-05 16:32:46,43.3578,76.8594,24.66,86,20,4.47
88,Tuktoyaktuk,CA,2022-02-05 16:29:19,69.4541,-133.0374,-31.0,68,0,9.22
89,Burgeo,CA,2022-02-05 16:31:39,47.6167,-57.6152,27.37,94,100,11.07
90,Beira,MZ,2022-02-05 16:32:47,-19.8436,34.8389,84.29,65,40,14.97
91,Tiksi,RU,2022-02-05 16:33:47,71.6872,128.8694,-22.02,98,100,7.56
92,Aborlan,PH,2022-02-05 16:33:48,9.4352,118.5492,77.36,88,83,13.27
93,Colac,AU,2022-02-05 16:33:48,-38.3333,143.5833,61.16,81,100,10.04
94,Iracoubo,GF,2022-02-05 16:33:49,5.4802,-53.2011,79.92,80,99,10.18
95,Ancud,CL,2022-02-05 16:33:12,-41.8697,-73.8203,71.22,58,3,6.93
96,Avarua,CK,2022-02-05 16:28:01,-21.2078,-159.775,77.05,88,40,5.75
97,Boa Vista,BR,2022-02-05 16:25:30,2.8197,-60.6733,89.58,45,75,13.8
98,Jalu,LY,2022-02-05 16:33:49,29.0331,21.5482,59.14,44,0,2.98
99,Barrow,US,2022-02-05 16:25:02,71.2906,-156.7887,-11.18,70,100,14.97
100,Port Blair,IN,2022-02-05 16:33:50,11.6667,92.75,80.64,83,40,5.75
101,Carnarvon,AU,2022-02-05 16:27:51,-24.8667,113.6333,82.47,78,22,9.22
102,Quatre Cocos,MU,2022-02-05 16:33:50,-20.2078,57.7625,80.71,85,100,17.72
103,Farah,AF,2022-02-05 16:33:51,32.5,62.5,53.62,31,100,1.68
104,Ostrovnoy,RU,2022-02-05 16:30:24,68.0531,39.5131,16.07,82,100,32.5
105,Kalabo,ZM,2022-02-05 16:33:51,-14.97,22.6814,70.27,86,90,5.61
106,Teknaf,BD,2022-02-05 16:33:52,20.8624,92.3058,67.78,87,69,5.66
107,Ossora,RU,2022-02-05 16:33:52,59.2353,163.0719,13.53,89,100,15.26
108,Khandbari,NP,2022-02-05 16:33:53,27.3747,87.2039,45.37,79,50,3.31
109,Castro,BR,2022-02-05 16:32:42,-24.7911,-50.0119,74.03,84,89,8.08
110,Bambous Virieux,MU,2022-02-05 16:29:05,-20.3428,57.7575,80.85,83,40,16.11
111,Siocon,PH,2022-02-05 16:33:53,7.7061,122.1353,77.16,87,91,9.8
112,Wamba,NG,2022-02-05 16:33:54,8.9333,8.6,91.04,12,0,7.58
113,Kilosa,TZ,2022-02-05 16:33:54,-6.8333,36.9833,72.5,83,99,3.44
